Orthogroup	Amel_filteredTranscripts	Apisu_filteredTranscripts	Brsri_filteredTranscripts	Csecu_filteredTranscripts	Dmela_filteredTranscripts	Samer_filteredTranscripts	Scanc_filteredTranscripts	Sgreg_filteredTranscripts	Sinvi_filteredTranscripts	Snite_filteredTranscripts	Spice_filteredTranscripts	Sscub_filteredTranscripts	Total
OG0000194	2	2	3	2	2	2	2	3	2	2	2	2	26
OG0000195	2	1	1	1	2	3	3	3	1	3	3	3	26
OG0000196	1	0	1	1	1	3	5	7	0	0	4	3	26
OG0000197	1	0	2	3	1	3	3	3	1	3	3	3	26
OG0000198	1	1	1	1	1	3	3	3	3	3	3	3	26
OG0000199	1	3	4	1	3	2	2	2	2	2	2	2	26
OG0000200	1	1	2	1	5	2	2	2	4	2	2	2	26
OG0000201	3	3	3	2	5	1	2	1	3	1	1	1	26
OG0000202	1	1	2	0	1	3	3	4	1	3	4	3	26
OG0000203	1	1	2	2	1	3	3	3	1	3	3	3	26
OG0000204	1	2	1	3	1	3	3	2	1	3	3	3	26
OG0000205	0	3	3	1	10	1	1	1	2	1	2	1	26
OG0000206	0	25	1	0	0	0	0	0	0	0	0	0	26
OG0000207	0	3	3	0	0	3	3	2	0	6	3	3	26
OG0000208	0	4	3	2	2	2	2	2	3	2	2	2	26
OG0000209	0	0	25	1	0	0	0	0	0	0	0	0	26
OG0000210	0	0	26	0	0	0	0	0	0	0	0	0	26
OG0000211	0	0	1	0	0	0	7	5	2	1	0	10	26
OG0000212	0	0	1	1	0	6	0	0	0	8	1	9	26
OG0000213	0	0	0	24	0	0	1	0	0	0	0	1	26
OG0000214	0	0	0	0	0	22	0	0	0	4	0	0	26
OG0000215	0	0	0	0	0	2	22	0	0	1	0	1	26
OG0000216	0	0	0	0	0	11	2	1	0	0	7	5	26
OG0000217	0	0	0	0	0	8	3	4	0	2	7	2	26
OG0000218	0	0	0	0	0	2	1	1	0	22	0	0	26
OG0000219	0	0	0	0	0	0	0	25	0	1	0	0	26
OG0000220	0	0	0	0	0	0	0	0	26	0	0	0	26
OG0000221	0	0	0	0	0	0	0	0	0	26	0	0	26
OG0000222	0	0	0	0	0	0	0	0	0	0	0	26	26
OG0000223	1	4	7	1	1	1	3	2	1	2	1	1	25
OG0000224	1	0	6	2	1	3	2	1	1	2	2	4	25
OG0000225	2	1	1	1	1	3	3	3	2	3	2	3	25
OG0000226	1	1	1	1	1	3	4	3	1	3	3	3	25
OG0000227	1	7	6	0	1	1	1	0	6	1	1	0	25
OG0000228	1	10	0	0	0	5	0	0	9	0	0	0	25
OG0000229	1	3	6	3	2	2	2	1	1	2	1	1	25
OG0000230	2	3	2	2	2	2	2	2	2	2	2	2	25
OG0000231	0	2	2	21	0	0	0	0	0	0	0	0	25
OG0000232	0	7	0	0	0	10	0	0	6	0	2	0	25
OG0000233	0	0	3	0	0	4	4	2	0	3	2	7	25
OG0000234	0	0	0	25	0	0	0	0	0	0	0	0	25
OG0000235	0	0	0	0	0	1	4	0	0	12	4	4	25
OG0000236	0	0	0	0	0	16	0	0	0	0	1	8	25
OG0000237	0	0	0	0	0	0	25	0	0	0	0	0	25
OG0000238	0	0	0	0	0	0	0	0	25	0	0	0	25
OG0000239	0	0	0	0	0	0	0	0	0	0	25	0	25
OG0000240	2	1	3	1	2	2	2	2	2	2	3	2	24
OG0000241	1	1	3	4	2	2	2	2	1	2	2	2	24
OG0000242	1	1	1	0	1	3	3	3	2	3	3	3	24
OG0000243	1	6	1	1	2	2	2	2	1	2	2	2	24
OG0000244	1	1	1	1	1	3	3	3	1	3	3	3	24
OG0000245	1	1	1	1	2	3	3	3	1	3	2	3	24
OG0000246	1	1	1	1	1	4	2	3	0	2	3	5	24
OG0000247	2	3	1	2	2	2	3	2	2	1	2	2	24
OG0000248	1	1	3	2	2	2	2	2	2	2	3	2	24
OG0000249	1	2	3	3	2	2	2	2	1	2	2	2	24
OG0000250	1	4	2	1	3	2	2	2	1	2	2	2	24
OG0000251	2	2	2	2	2	2	2	2	2	2	2	2	24
OG0000252	1	1	1	1	1	3	3	3	1	3	3	3	24
OG0000253	2	0	2	0	0	3	3	3	1	3	3	4	24
OG0000254	1	1	1	1	1	3	3	3	1	3	3	3	24
OG0000255	1	6	0	0	0	3	4	0	2	1	3	4	24
OG0000256	1	1	1	1	2	2	3	3	1	3	3	3	24
OG0000257	1	1	1	1	1	3	3	3	1	3	3	3	24
OG0000258	1	1	1	1	2	3	3	3	1	2	3	3	24
OG0000259	0	24	0	0	0	0	0	0	0	0	0	0	24
OG0000260	0	24	0	0	0	0	0	0	0	0	0	0	24
OG0000261	0	24	0	0	0	0	0	0	0	0	0	0	24
OG0000262	0	7	1	5	0	0	0	0	2	3	3	3	24
OG0000263	0	2	0	0	0	4	8	1	0	0	6	3	24
OG0000264	0	1	0	0	0	1	0	0	0	22	0	0	24
OG0000265	0	0	0	0	0	8	2	2	0	2	5	5	24
OG0000266	0	0	0	0	0	4	4	4	0	4	4	4	24
OG0000267	0	0	0	0	0	0	0	0	24	0	0	0	24
OG0000268	0	0	0	0	0	0	0	0	24	0	0	0	24
OG0000269	0	0	0	0	0	0	0	0	24	0	0	0	24
OG0000270	0	0	0	0	0	0	0	0	0	1	0	23	24
OG0000271	2	2	1	2	2	2	2	2	2	2	2	2	23
OG0000272	2	2	2	2	1	2	2	2	2	2	2	2	23
OG0000273	1	1	1	1	1	3	3	3	1	2	3	3	23
OG0000274	1	1	5	1	1	2	2	2	2	2	2	2	23
OG0000275	1	2	2	1	4	2	2	2	1	2	2	2	23
OG0000276	1	1	0	1	1	3	3	3	1	3	3	3	23
OG0000277	1	1	1	1	0	3	3	3	1	3	3	3	23
OG0000278	2	2	2	2	2	2	2	2	1	2	2	2	23
OG0000279	2	2	2	2	1	2	2	2	2	2	2	2	23
OG0000280	1	3	2	1	3	2	2	2	1	2	2	2	23
OG0000281	2	1	1	2	3	2	2	2	2	2	2	2	23
OG0000282	0	5	4	0	2	2	2	2	0	2	2	2	23
OG0000283	0	21	2	0	0	0	0	0	0	0	0	0	23
OG0000284	0	2	2	1	2	2	2	2	4	2	3	1	23
OG0000285	0	23	0	0	0	0	0	0	0	0	0	0	23
OG0000286	0	4	0	0	0	0	2	0	1	11	5	0	23
OG0000287	0	2	21	0	0	0	0	0	0	0	0	0	23
OG0000288	0	1	0	4	0	0	0	2	15	0	0	1	23
OG0000289	0	0	23	0	0	0	0	0	0	0	0	0	23
OG0000290	0	0	23	0	0	0	0	0	0	0	0	0	23
OG0000291	0	0	1	0	0	3	4	5	0	3	2	5	23
